marketing_start_date,group_id,Vores_approval,unii,SMILES
19650623.0,82183.0,1,P5RU6UOQ5Y,C1(C(C(CCN2CCOCC2)CN1CC)(c3ccccc3)c4ccccc4)=O.Cl.O
19651018.0,17960.0,1,8EUL29XUQT,[C@@]12([C@@]3([C@@]([C@@]4(C[C@H](F)C=5[C@@]([C@]4([C@H](C3)O)[H])(CCC(=O)C5)C)[H])([H])C[C@]1(OC(O2)(C)C)[H])C)C(=O)CO
19651101.0,118275.0,1,70FD1KFU70,S1SSSSSSS1
19651118.0,91936.0,1,MJW015BAPH,C(Nc1c(C)cccc1)(=O)C(NCCC)C.Cl
19660101.0,8339.0,1,8ZYQ1474W7,[F-].[Na+]
19660730.0,48965.0,1,9U7D5QH5AE,O([C@@]([C@@H](C(CO)=O)O)([C@@H](CO)O)[H])[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O
19660901.0,6327.0,1,MFM6K1XWDK,[N+]1(=C(c2c(ccc(c2)Cl)N=C(C1)NC)c3ccccc3)[O-].Cl
19660901.0,6327.0,1,91ZQW5JF1Z,C(C(c1ccccc1)(c2ccccc2)O)(OC3C[N+]4(C)CCC3CC4)=O.[Br-]
19670110.0,31930.0,1,M5DP350VZV,c1(c(c(Cl)c(cc1)OCC(=O)O)Cl)C(C(=C)CC)=O
19670701.0,128620.0,1,3FTR44B32Q,[Sn+2].[F-].[F-]
19671205.0,56039.0,1,19XTS3T51U,[C@@]12([C@]([H])([C@@H](C(O)=C(C1=O)C(N)=O)N(C)C)[C@@H](O)[C@@]3([H])C(=C2O)C(c4c(cccc4O)[C@@H]3C)=O)O.Cl.CCO.O.[C@@]12([C@]([H])([C@@H](C(=C(C1=O)C(N)=O)O)N(C)C)[C@H]([C@]3(C(=C2O)C(c4c(cccc4O)[C@@H]3C)=O)[H])O)O.Cl
19680311.0,4142.0,1,33CM23913M,N1(C(=O)N)c2c(C=Cc3c1cccc3)cccc2
19680402.0,126157.0,1,V9TKO7EO6K,S(=O)(O)(C)=O.C(N(O)CCCCCNC(=O)CCC(N(O)CCCCCN)=O)(=O)CCC(=O)NCCCCCN(C(=O)C)O
19690101.0,8119.0,0,XF417D3PSL,C(CC(=O)O)(CC(=O)O)(C(=O)O)O
19690328.0,121839.0,1,02F3473H9O,[Mg+2].[Cl-].O.[Cl-].O.O.O.O.O
19690328.0,121839.0,1,4550K0SC9B,C(C)([O-])=O.[Na+].O.O.O
19690328.0,121839.0,1,M4I0D6VV5M,[Ca+2].[Cl-].O.[Cl-].O
19700101.0,89206.0,0,E1UOL152H7,[Fe]
19700403.0,127999.0,1,ND2M416302,OC(C)C
19700522.0,24501.0,1,T20OQ1YN1W,[C@]1(O[C@H](SC)[C@@H]([C@H]([C@H]1O)O)O)([C@](NC([C@H]2N(C[C@@H](C2)CCC)C)=O)([C@@H](Cl)C)[H])[H].Cl
19700729.0,114835.0,1,U3P01618RT,[nH]1c(c(F)c[nH]c1=O)=O
19701204.0,31931.0,1,GNN1DV99GX,[C@H](C(=O)O)(C(S)(C)C)N
